"","Title","Company","City","State","Skills"
"220","Intern - Enterprise Data Science","Micron-Technology-Inc","Boise"," ID","Python. SQL. R. C++. Tableau."
"221","Data Analyst/Scientist","Booz-Allen-Hamilton","McLean"," VA","Python. SQL. R. SAS. Excel. C++. Tableau."
"222","Junior Quantitative Researcher - Machine Learning","Akuna-Capital","Chicago"," IL","Python. R. Excel. C++."
"223","Control Systems Data Scientist","Pacific-Gas-and-Electric-Company-(pg&E)","Fort Washington"," PA","Python. SQL. R. C++."
"224","Data Scientist","Osu-Wexner-Medical-Center","Columbus"," OH","Python. SQL. R. SAS. Excel. C++."
"225","Data Scientist - eBusiness","Nci-Information-Systems-Inc","Cleveland"," OH","R. C++. Tableau."
"226","Data Science Analyst - Periscope","Asml","Waltham"," MA","Python. SQL. C++. Java."
"227","Data and Research Analyst","Parker-Hannifin","Honolulu"," HI","NoSQL. R. C++. Java."
"228","Data Scientist-ISD","Qualcomm","Bentonville"," AR","SAS. Excel. C++. statistics. Java."
"229","Data Scientist","Micron-Technology-Inc","Southfield"," MI","Python. R. SAS. C++. Java."
"230","Geospatial Data Scientist","Booz-Allen-Hamilton","Boston"," MA","C++."
"231","Data Scientist Front End of Innovation","Akuna-Capital","Granville"," OH","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"232","Control Systems Data Scientist","Kamehameha-Schools","Honolulu"," HI","SQL. C++."
"233","Data Scientist","Walmart","Bentonville"," AR","Python. SQL. R. C++."
"234","Data Scientist - eBusiness","Thyssenkrupp","Southfield"," MI","R. Excel. C++."
"235","Data Science Analyst - Periscope","Booz-Allen-Hamilton","Boston"," MA","C++."
"236","Statistician/Intermediate - Levine Cancer Institute","Owens-Corning","Granville"," OH","Python. R. C++."
"237","Data and Research Analyst","Pearson","San Antonio"," TX","C++."
"238","Geospatial Data Scientist","Pivotal-Labs-Inc","Denver"," CO","Python. R. Excel. C++. statistics. Java."
"239","Data Scientist Front End of Innovation","Noblis","Washington"," DC","Python. SQL. R. SAS. C++. statistics. Tableau."
"240","Product Data Management Specialist Lead","Kamehameha-Schools","San Francisco"," CA","Python. SQL. R. Excel. C++. statistics. Java."
"241","Data Scientist positions in Natural Language Processing","Walmart","Columbus"," OH","C++."
"242","System Integration & Test Engineer - Machine Learning","Thyssenkrupp","Nashville"," TN","Python. SQL. C++. statistics."
"243","Data Scientist","Booz-Allen-Hamilton","San Jose"," CA","Python. SQL. R. C++."
"244","Data Scientist","Owens-Corning","Denver"," CO","Python. SQL. R. C++. Tableau."
"245","Data Engineer","Pearson","Cleveland"," OH","Python. SQL. R. SAS. Excel. C++. Tableau."
"246","Statistician/Intermediate - Levine Cancer Institute","Pivotal-Labs-Inc","McLean"," VA","Python. R. Excel. C++."
"247","Data Scientist, Machine Learning","Noblis","Chicago"," IL","Python. SQL. R. C++."
"248","Data and Research Analyst","Pacific-Gas-and-Electric-Company-(pg&E)","Honolulu"," HI","Python. SQL. R. SAS. Excel. C++."
"249","Data Scientist-ISD","Osu-Wexner-Medical-Center","Bentonville"," AR","R. C++. Tableau."
"250","Data Scientist","Nci-Information-Systems-Inc","Southfield"," MI","Python. SQL. C++. Java."
"251","Geospatial Data Scientist","Asml","Boston"," MA","NoSQL. R. C++. Java."
"252","Associate Research Scientist - Machine Learning","Parker-Hannifin","San Antonio"," TX","SAS. Excel. C++. statistics. Java."
"253","Research Analyst","Qualcomm","Denver"," CO","Python. R. SAS. C++. Java."
"254","Data Scientist","Micron-Technology-Inc","Mountain View"," CA","C++."
"255","Sr. Data Scientist","Booz-Allen-Hamilton","Denver"," CO","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"256","Data Scientist","Akuna-Capital","Washington"," DC","SQL. C++."
"257","Data and Research Analyst","Kamehameha-Schools","Johnston"," IA","Python. SQL. R. C++."
"258","Data Scientist-ISD","Walmart","Malvern"," PA","R. Excel. C++."
"259","Data Scientist","Thyssenkrupp","McLean"," VA","C++."
"260","Geospatial Data Scientist","Booz-Allen-Hamilton","San Jose"," CA","Python. R. C++."
"261","Data Scientist Front End of Innovation","Owens-Corning","Washington"," DC","C++."
"262","Associate Research Scientist - Machine Learning","Pearson","Fort Washington"," PA","Python. R. Excel. C++. statistics. Java."
"263","Sr. Data Scientist","Pivotal-Labs-Inc","Waltham"," MA","Python. SQL. R. SAS. C++. statistics. Tableau."
"264","Data Scientist","Noblis","Charlotte"," NC","Python. SQL. R. Excel. C++. statistics. Java."
"265","Data Engineer","Kamehameha-Schools","Honolulu"," HI","C++."
"266","Data and Analytics Manager","Walmart","Bentonville"," AR","Python. SQL. C++. statistics."
"267","Quantitative Risk Analyst","Thyssenkrupp","Southfield"," MI","Python. SQL. R. C++."
